Modelo;802.1q tags per device;802.1q tags per physical interface;ARP table size per device;Active and unique groups used in policy*;Address groups;Address objects;App override rules;App-ID firewall throughput;Base virtual systems;Bidirectional Forwarding Detection (BFD) Sessions;Captive portal rules;Clear text nodes per physical interface;Connections per second;Custom App-ID signatures;Custom App-IDs (virtual system specific);DHCP relays*;DHCP servers;DSCP marking by policy;Dataplane cache size for URL filtering;Decryption rules;Default DIPP pool oversubscription*;Devices supported;DoS protection rules;End-of-sale;FQDN address objects;HSM Supported;IP-User mappings (data plane);IP-User mappings (management plane);IPSec VPN throughput;IPv4 forwarding table size*;IPv6 forwarding table size*;IPv6 neighbor table size;MAC table size per device;Management plane dynamic cache size;Max ARP entries per broadcast domain;Max DAG IP addresses*;Max IKE Peers;Max MAC entries per broadcast domain;Max NAT rules (DIP)*;Max NAT rules (DIPP);Max NAT rules (static)*;Max SSL inbound certificates;Max SSL tunnels;Max concurrent decryption sessions;Max custom categories (virtual system specific);Max custom categories;Max interfaces (logical and physical);Max number of DNS Domains per system;Max number of IPs per system;Max number of URL per system;Max number of assigned addresses;Max number of custom lists;Max route maps per virtual router;Max routing peers (protocol dependent);Max security zones;Max sessions (IPv4 or IPv6);Max translated IPs (DIP);Max translated IPs (DIPP)*;Max tunnels (SSL, IPSec, and IKE with XAUTH);Max virtual addresses;Max virtual systems*;Maximum SD-WAN virtual interfaces;Maximum aggregate interfaces;Members per address group;Members per service group;Mgmt - ', '0Gbps high availability;Mgmt - 10/100/1000 high availability;Mgmt - 10Gbps high availability;Mgmt - 40Gbps high availability;Mgmt - out-of-band;Monitored servers for User-ID;NAT rules;Number of QoS policies;Number of User-ID agents;Physical interfaces supporting QoS;Policy based forwarding rules;Replication (egress interfaces);Routes;SD-WAN IPSec tunnels;SD-WAN rules;SSL Decryption Broker;SSL Port Mirror;SSL certificate cache (forward proxy);Security profiles;Security rule schedules;Security rules;Service groups;Service objects;Shared custom App-IDs;Shortest check interval (min);Site to site (with proxy id);Static entries - DNS proxy;Subinterfaces supported;System total forwarding table size;Tags per IP address;Tags per User*;Terminal server agents;Threat prevention throughput;Total NAT rule capacity;Total entries for allow list, block list and custom categories;Traffic - ', '0/100Gbps QSFP+/QSFP28;Traffic - 10/100/1000;Traffic - 100/1000/10000;Traffic - 10Gbps SFP+;Traffic - 1Gbps SFP;Traffic - 25Gbps SFP28;Traffic - 4', '/1', 'Gbps QSFP+/QSFP28;Traffic - 40/100Gbps QSFP+/QSFP', '8;Traffic - 40/100Gbps QSFP+/QSFP28;Tunnel content inspection rules;Virtual routers;Virtual wires
PA-450;4.094;4.094;6.000;1.000;500;15.000;500;2900000000.0;1;Yes;500;31;51.000;6.000;6.416;500;5;Yes;150.000;500;2;2;500;0;2.000;No;128.000;512.000;2200000000.0;7.500;7.500;6.000;6.000;600.000;6.000;100.000;2.800;6.000;2.000;1.500;3.000;100;200;38.400;500;2.849;3.000;1.000.000;50.000;100.000;64.000;30;undefined;1.000;75;300.000;128.000;1.500;1.500;48;0;840;4;2.500;1.000;;0;0;0;10/100/1000. RJ45/Micro USB console;100;3.000;2.000;100;8;500;300;1.500;2.800;250;No;Yes;2.000;150;256;2.500;1.000;2.000;512;5;2.800;1.024;System Limit;7.500;64;64;1.000;1600000000.0;3.000;25.000;;8;0;0;0;0;;;0;500;5;1.024
PA-460;4.094;4.094;6.000;1.000;500;15.000;500;4400000000.0;1;Yes;500;31;73.000;6.000;6.416;500;5;Yes;150.000;500;2;2;500;0;2.000;No;128.000;512.000;3000000000.0;10.000;10.000;6.000;6.000;600.000;6.000;100.000;2.800;6.000;2.000;1.500;3.000;100;200;51.000;500;2.849;3.000;1.000.000;50.000;100.000;64.000;30;undefined;1.000;100;400.000;128.000;1.500;1.500;48;0;840;4;2.500;1.000;;0;0;0;10/100/1000. RJ45/Micro USB console;100;3.000;2.000;100;8;500;300;1.500;2.800;250;No;Yes;2.000;150;256;2.500;1.000;2.000;512;5;2.800;1.024;System Limit;10.000;64;64;1.000;2400000000.0;3.000;25.000;;8;0;0;0;0;;;0;500;5;1.024
PA-5220;4.094;4.094;128.000;10.000;40.000;80.000;3.500;15600000000.0;10;1.024;8.000;63;150.000;6.000;6.416;2.048;20;Yes;250.000;3.500;8;16;2.000;0;6.144;Yes;512.000;512.000;9500000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;3.000;128.000;4.000;4.000;6.000;600;2.500;400.000;500;2.849;4.096;4.000.000;150.000;250.000;64.000;30;50;1.000;4.000;4.000.000;64.000;4.000;15.000;4.096;20;1.500;16;2.500;2.500;;0;0;1;10/100/1000. RJ45 console;100;6.000;4.000;100;12;2.000;1.000;4.000;3.000;300;Yes;Yes;16.000;750;256;30.000;4.000;8.000;512;5;10.000;1.024;2.048;200.000;64;32;2.500;8800000000.0;6.000;100.000;;0;4;0/16;0/16;0;;;4X40;2.500;20;2.048
PA-5250;4.094;4.094;128.000;10.000;80.000;160.000;4.000;36700000000.0;25;1.024;8.000;63;368.000;6.000;6.416;4.096;125;Yes;250.000;5.000;8;16;2.000;0;6.144;Yes;512.000;512.000;18400000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;4.000;128.000;8.000;6.000;8.000;1.200;5.000;800.000;500;2.849;4.096;4.000.000;150.000;250.000;64.000;30;50;1.000;17.000;8.000.000;160.000;6.000;30.000;4.096;125;1.500;16;2.500;2.500;;0;0;1;10/100/1000. RJ45 console;100;8.000;4.000;100;12;2.000;2.000;4.000;4.000;500;Yes;Yes;24.000;750;256;65.000;6.000;12.000;512;5;12.000;1.024;2.048;200.000;64;32;2.500;21400000000.0;8.000;100.000;;0;4;0/16;0/16;0;;;4x40/100;8.500;125;2.048
PA-5260;4.094;4.094;128.000;10.000;80.000;160.000;4.000;55200000000.0;25;1.024;8.000;63;500.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;16;2.000;0;6.144;Yes;512.000;512.000;26300000000.0;100.000;100.000;128.000;128.000;900.000;128.000;500.000;5.000;128.000;16.000;8.000;16.000;2.000;10.000;3.200.000;500;2.849;5.120;4.000.000;150.000;250.000;64.000;30;50;1.000;17.000;32.000.000;320.000;8.000;60.000;4.096;225;1.500;16;2.500;2.500;;0;0;1;10/100/1000. RJ45 console;100;16.000;4.000;100;12;2.000;2.000;4.000;5.000;500;Yes;Yes;32.000;750;256;65.000;6.000;12.000;512;5;15.000;1.024;2.048;200.000;64;32;2.500;31400000000.0;16.000;100.000;;0;4;0/16;0/16;0;;;4x40/100;8.500;225;2.048
PA-5280;4.094;4.094;128.000;10.000;80.000;160.000;4.000;55200000000.0;25;1.024;8.000;63;500.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;16;2.000;0;6.144;Yes;512.000;512.000;26300000000.0;100.000;100.000;128.000;128.000;900.000;128.000;500.000;5.000;128.000;16.000;8.000;16.000;2.000;10.000;6.400.000;500;2.849;5.120;4.000.000;150.000;250.000;64.000;30;50;1.000;17.000;64.000.000;320.000;8.000;60.000;4.096;225;2.000;16;2.500;2.500;;0;0;1;10/100/1000. RJ45 console/Micro USB console;100;16.000;4.000;100;12;2.000;2.000;4.000;5.000;700;Yes;Yes;32.000;750;256;65.000;6.000;12.000;512;5;15.000;1.024;2.048;200.000;64;32;2.500;31400000000.0;16.000;100.000;;0;4;0/16;0/16;0;;;4x40/100;8.500;225;2.048
PA-5410;4.094;4.094;128.000;10.000;40.000;80.000;3.500;43500000000.0;10;1.024;8.000;63;270.000;6.000;6.416;4.096;20;Yes;250.000;3.500;8;8;2.000;undefined;6.144;Yes;512.000;512.000;21000000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;4.000;128.000;4.000;4.000;6.000;600;2.500;360.000;500;2.849;4.800;4M;150.000;250.000;64.000;30;50;1.000;4.000;3.600.000;128.000;4.000;15.000;4.096;20;1.600;14;2.500;2.500;;0;0;1;SFP/SFP+. RJ45 console;100;6.000;4.000;100;12;2.000;1.000;4.000;1.600;800;Yes;Yes;16.000;750;256;30.000;4.000;8.000;512;5;10.000;1.024;2.048;200.000;64;64;2.500;26700000000.0;6.000;100.000;4;0;8;0/12;0/12;4;;;;2.500;20;2.048
PA-5420;4.094;4.094;128.000;10.000;60.000;120.000;4.000;56000000000.0;15;1.024;8.000;63;370.000;6.000;6.416;4.096;75;Yes;250.000;5.000;8;8;2.000;undefined;6.144;Yes;512.000;512.000;28700000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;5.000;128.000;6.000;6.000;6.000;900;3.500;500.000;500;2.849;6.000;4M;150.000;250.000;64.000;30;50;1.000;6.000;5.000.000;256.000;6.000;22.000;4.096;65;2.000;14;2.500;2.500;;0;0;1;SFP/SFP+. RJ45 console;100;6.000;4.000;100;12;2.000;1.000;4.000;2.000;800;Yes;Yes;20.000;750;256;45.000;6.000;10.000;512;5;12.000;1.024;2.048;200.000;64;64;2.500;32000000000.0;6.000;100.000;4;0;8;0/12;0/12;4;;;;6.000;50;2.048
PA-5430;4.094;4.094;128.000;10.000;80.000;160.000;4.000;61000000000.0;25;1.024;8.000;63;380.000;6.000;6.416;4.096;125;Yes;250.000;5.000;8;8;2.000;undefined;6.144;Yes;512.000;512.000;42000000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;5.000;128.000;8.000;6.000;6.000;1.200;5.000;720.000;500;2.849;6.000;4M;150.000;250.000;64.000;30;50;1.000;17.000;7.200.000;320.000;8.000;30.000;4.096;125;2.000;14;2.500;2.500;;0;0;1;SFP/SFP+. RJ45 console;100;6.000;4.000;100;12;2.000;1.000;4.000;2.000;800;Yes;Yes;24.000;750;256;65.000;6.000;12.000;512;5;12.000;1.024;2.048;200.000;64;64;2.500;40000000000.0;6.000;100.000;4;0;8;0/12;0/12;4;;;;8.500;125;2.048
PA-5440;4.094;4.094;128.000;10.000;80.000;160.000;4.000;72000000000.0;25;1.024;8.000;63;390.000;6.000;6.416;4.096;125;Yes;250.000;5.000;8;8;2.000;undefined;6.144;Yes;512.000;512.000;58000000000.0;100.000;100.000;128.000;128.000;600.000;128.000;500.000;8.000;128.000;8.000;6.000;6.000;1.200;10.000;1.200.000;500;2.849;6.000;4M;150.000;250.000;64.000;30;50;1.000;17.000;12.000.000;320.000;8.000;60.000;4.096;125;2.000;14;2.500;2.500;;0;0;1;SFP/SFP+. RJ45 console;100;6.000;4.000;100;12;2.000;1.000;4.000;2.400;800;Yes;Yes;24.000;750;256;65.000;6.000;12.000;512;5;24.000;1.024;2.048;200.000;64;64;2.500;52000000000.0;6.000;100.000;4;0;8;0/12;0/12;4;;;;8.500;125;2.048
