Modelo;802.1q tags per device;802.1q tags per physical interface;ARP table size per device;Active and unique groups used in policy*;Address groups;Address objects;App override rules;App-ID firewall throughput;Base virtual systems;Bidirectional Forwarding Detection (BFD) Sessions;Captive portal rules;Clear text nodes per physical interface;Connections per second;Custom App-ID signatures;Custom App-IDs (virtual system specific);DHCP relays*;DHCP servers;DSCP marking by policy;Dataplane cache size for URL filtering;Decryption rules;Default DIPP pool oversubscription*;Devices supported;DoS protection rules;End-of-sale;FQDN address objects;HSM Supported;IP-User mappings (data plane);IP-User mappings (management plane);IPSec VPN throughput;IPv4 forwarding table size*;IPv6 forwarding table size*;IPv6 neighbor table size;MAC table size per device;Management plane dynamic cache size;Max ARP entries per broadcast domain;Max DAG IP addresses*;Max IKE Peers;Max MAC entries per broadcast domain;Max NAT rules (DIP)*;Max NAT rules (DIPP);Max NAT rules (static)*;Max SSL inbound certificates;Max SSL tunnels;Max concurrent decryption sessions;Max custom categories (virtual system specific);Max custom categories;Max interfaces (logical and physical);Max number of DNS Domains per system;Max number of IPs per system;Max number of URL per system;Max number of assigned addresses;Max number of custom lists;Max route maps per virtual router;Max routing peers (protocol dependent);Max security zones;Max sessions (IPv4 or IPv6);Max translated IPs (DIP);Max translated IPs (DIPP)*;Max tunnels (SSL, IPSec, and IKE with XAUTH);Max virtual addresses;Max virtual systems*;Maximum SD-WAN virtual interfaces;Maximum aggregate interfaces;Members per address group;Members per service group;Mgmt - ', '0Gbps high availability;Mgmt - 10/100/1000 high availability;Mgmt - 10Gbps high availability;Mgmt - 40Gbps high availability;Mgmt - out-of-band;Monitored servers for User-ID;NAT rules;Number of QoS policies;Number of User-ID agents;Physical interfaces supporting QoS;Policy based forwarding rules;Replication (egress interfaces);Routes;SD-WAN IPSec tunnels;SD-WAN rules;SSL Decryption Broker;SSL Port Mirror;SSL certificate cache (forward proxy);Security profiles;Security rule schedules;Security rules;Service groups;Service objects;Shared custom App-IDs;Shortest check interval (min);Site to site (with proxy id);Static entries - DNS proxy;Subinterfaces supported;System total forwarding table size;Tags per IP address;Tags per User*;Terminal server agents;Threat prevention throughput;Total NAT rule capacity;Total entries for allow list, block list and custom categories;Traffic - ', '0/100Gbps QSFP+/QSFP28;Traffic - 10/100/1000;Traffic - 100/1000/10000;Traffic - 10Gbps SFP+;Traffic - 1Gbps SFP;Traffic - 25Gbps SFP28;Traffic - 4', '/1', 'Gbps QSFP+/QSFP28;Traffic - 40/100Gbps QSFP+/QSFP', '8;Traffic - 40/100Gbps QSFP+/QSFP28;Tunnel content inspection rules;Virtual routers;Virtual wires
PA-5450;4.094;4.094;132.000;10.000;80.000;160.000;4.000;200000000000.0;25;1.024;8.000;63;3.600.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;8;2.000;0;6.144;Yes;512.000;512.000;85000000000.0;228.000;228.000;132.000;132.000;900.000;132.000;500.000;8.000;132.000;16.000;4.000;16.000;4.000;25.000;10.000.000;500;2.489;5.120;4.000.000;150.000;250.000;64.000;30;undefined;1.000;17.000;100.000.000;320.000;4.000;60.000;1.024;225;2.400;12;2.500;2.500;;0;0;2;SFP/SFP+. RJ45 console;100;16.000;4.000;100;32;2.000;2.000;4.000;24.000;1.000;Yes;Yes;32.000;750;256;65.000;6.000;12.000;512;5;24.000;1.024;2.048;456.000;64;32;2.500;124000000000.0;16.000;100.000;;0;8;0/24;0/24;0;;;4x40/100;8.500;225;2.560
PA-7050;4.094;4.094;32.000/132.000;10.000;80.000;160.000;4.000;384800000000.0;25;1.024;8.000;63;4.000.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;2;2.000;0;6.144;Yes;512.000;512.000;192200000000.0;32.768/228.000;32.768/228.000;32.000/132.000;32.000/132.000;900.000;32.000/132.000;100000/500000;4.000;32.000/132.000;16.000;4.000;16.000;4.000;10000/25000;786.432/19.2M;500;2.849;4.096/5.120;4.000.000;150.000;250.000;64.000;30;50;500/1.000;17.000;245.000.000;320.000;4.000;40000/60000;1.024;225;2.000;32;2.500;2.500;;2;0;2;10/100/1000. RJ45 console;100;16.000;8.000;100;32;2.000;100/2000;4.000;8.000/12000;700;Yes;Yes;8.192/32.000;750;256;65.000;6.000;12.000;512;5;8.000/12000;1.024;2.048;65.536/456.000;64;32;2.000/2.500;226200000000.0;16.000;100.000;;72;0;72;48;0;;;12;8.500;225;2.048/2.560
PA-7080;4.094;4.094;32.000/132.000;10.000;80.000;160.000;4.000;635000000000.0;25;1.024;8.000;63;6.000.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;2;2.000;0;6.144;Yes;512.000;512.000;314600000000.0;32.768/228.000;32.768/228.000;32.000/132.000;32.000/132.000;900.000;32.000/132.000;100000/500000;4.000;32.000/132.000;16.000;4.000;16.000;4.000;10000/25000;1.310.720/32M;500;2.849;4.096/5.120;4.000.000;150.000;250.000;64.000;30;50;500/1.000;17.000;416.000.000;320.000;4.000;40000/60000;1.024;225;2.000;32;2.500;2.500;;2;0;2;10/100/1000. RJ45 console;100;16.000;8.000;100;32;2.000;100/2000;4.000;8000/12000;700;Yes;Yes;8.192/32.000;750;256;65.000;6.000;12.000;512;5;8000/12000;1.024;2.048;65.536/456.000;64;32;2.000/2.500;387600000000.0;16.000;100.000;;120;0;120;80;0;;;20;8.500;225;2.048/2.560
PA-820;4.094;4.094;3.000;1.000;250;2.500;100;1500000000.0;1;0;500;31;8.100;6.000;6.416;500;5;Yes;90.000;100;2;2;100;0;2.000;No;128.000;512.000;1400000000.0;10.000;5.000;3.000;3.000;600.000;3.000;1.000;1.000;3.000;2.000;400;3.000;75;200;12.800;500;2.849;1.024;1.000.000;50.000;100.000;64.000;30;50;1.000;30;128.000;128.000;400;1.000;48;0;500;6;2.500;500;;2;0;0;10/100/1000. RJ45/Micro USB console;100;3.000;250;100;12;100;200;1.500;1.000;100;No;Yes;1.000;100;256;1.500;250;1.000;512;5;2.000;1.024;1.024;15.000;64;32;1.000;840000000.0;3.000;25.000;;4;0;0;8;0;;;0;100;5;512
PA-850;4.094;4.094;3.000;1.000;350;3.500;100;1900000000.0;1;0;500;31;13.100;6.000;6.416;500;5;Yes;90.000;150;2;2;250;0;2.000;No;128.000;512.000;1800000000.0;10.000;5.000;3.000;3.000;600.000;3.000;2.500;1.000;3.000;2.000;400;3.000;100;200;19.200;500;2.849;1.024;1.000.000;50.000;100.000;64.000;30;50;1.000;40;192.000;128.000;400;1.000;48;0;500;6;2.500;500;;2;0;0;10/100/1000. RJ45/Micro USB console;100;3.000;500;100;12;250;200;1.500;1.000;100;No;Yes;2.000;150;256;1.500;250;1.000;512;5;2.000;1.024;1.024;15.000;64;32;1.000;1000000000.0;3.000;25.000;;4;0;0/4;4/8;0;;;0;250;5;512
PAN-PA-5400-DPC-A;0;0;132.000;10.000;80.000;160.000;4.000;67200000000.0;-;0;8.000;63;725.000;6.000;6.416;0;0;0;250.000;5.000;0;0;2.000;0;6.144;N/A;512.000;512.000;17000000000.0;0;0;132.000;132.000;900.000;132.000;500.000;0;132.000;0;0;0;4.000;25.000;2.000.000;500;2.489;0;4.000.000;150.000;250.000;0;30;undefined;0;17.000;20.000.000;0;0;0;0;-;0;0;2.500;2.500;;0;0;0;0;100;16.000;0;100;12;2.000;0;0;0;1.000;N/A;N/A;32.000;750;256;65.000;6.000;12.000;512;5;0;0;0;0;64;32;2.500;31000000000.0;0;100.000;;0;0;0;0;0;;;0;8.500;225;-
PAN-PA-7000-100G-NPC-A;4.094;4.094;132.000;10.000;80.000;160.000;4.000;52500000000.0;25;1.024;8.000;63;560.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;0;2.000;0;6.144;0;512.000;512.000;26300000000.0;32.768/228.000;32.768/228.000;132.000;132.000;900.000;132.000;500.000;4.000;132.000;16.000;4.000;16.000;4.000;25.000;3.200.000;500;2.849;5.120;4.000.000;150.000;250.000;64.000;30;50;1.000;17.000;32.000.000;320.000;4.000;40.000/60000;1.024;225;2.000;32;2.500;2.500;;0;0;0;0;100;16.000;8.000;100;12;2.000;100/2.000;4.000;12.000;700;0;0;32.000;750;256;65.000;6.000;12.000;512;5;12.000;1.024;2.048;65.536/456.000;64;32;2.500;27600000000.0;16.000;100.000;;0;0;0/8;0/8;0;;;4x40/100;8.500;225;2.560
PAN-PA-7000-DPC-A;0;0;0;10.000;80.000;160.000;4.000;70000000000.0;25;0;8.000;0;746.000;6.000;6.416;4.096;225;Yes;250.000;5.000;8;0;2.000;0;6.144;0;512.000;512.000;34900000000.0;0;0;0;0;900.000;0;500.000;4.000;0;16.000;4.000;16.000;4.000;25.000;3.200.000;500;2.849;0;4.000.000;150.000;250.000;64.000;30;0;0;17.000;43.000.000;320.000;4.000;40.000/60000;1.024;225;0;0;2.500;2.500;;0;0;0;0;100;16.000;8.000;100;0;2.000;100/2.000;4.000;12.000;700;0;0;32.000;750;256;65.000;6.000;12.000;512;5;12.000;0;0;0;64;32;2.500;36800000000.0;16.000;100.000;;0;0;0;0;0;;;0;8.500;225;2.560
VM-Series (16 vCPU, 56 GB);4.094;4.094;128.000;10.000;4.000;40.000;2.000;24000000000.0;1;1.024;2.000;63;120.000;6.000;6.416;500;125;Yes;250.000;2.000;8;2;1.000;0;2.000;Yes;512.000;512.000;5000000000.0;100.000;100.000;128.000;128.000;600.000;128.000;300.000;2.000;128.000;8.000;2.000;8.000;1.000;2.500;100.000;500;2.849;4.096;2.000.000;50.000;100.000;64.000;30;50;1.000;200;10.000.000;160.000;2.000;12.000;4.096;0;1.000;0;2.500;500;;0;0;0;0;100;15.000;4.000;100;12;2.000;1.000;4.000;2.000;300;Yes;Yes;8.000;750;256;20.000;250;5.000;512;5;8.000;1.024;0;100.000;32;32;2.500;12000000000.0;8.000;100.000;;0;0;0;0;0;;;0;2.000;125;12
VM-Series (2 vCPU, 4.5 GB);4.094;4.094;1.500;1.000;100;2.000;100;3000000000.0;1;0;10;31;3.000;6.000;3.208;500;3;Yes;90.000;100;2;2;100;0;2.000;Yes;64.000;512.000;100000000.0;1.000;1.000;500;1.500;100.000;1.500;1.000;25;1.500;160;160;160;1.000;40;1.024;500;2.849;512;50.000;50.000;50.000;64.000;30;50;500;15;50.000;16.000;200;25;32;0;0;0;2.500;500;;0;0;0;0;100;400;100;100;6;100;100;500;0;0;No;Yes;128;38;256;200;250;1.000;512;5;25;1.024;0;1.000;32;32;400;1500000000.0;160;25.000;;0;0;0;0;0;;;0;100;3;2
VM-Series (2 vCPU, 5.5 GB);4.094;4.094;1.500;1.000;125;2.500;100;3000000000.0;1;0;10;31;3.000;6.000;6.416;500;3;Yes;90.000;100;2;2;100;0;2.000;Yes;64.000;512.000;100000000.0;2.500;2.500;500;1.500;100.000;1.500;1.000;250;1.500;400;200;400;1.000;40;1.024;500;2.849;512;50.000;50.000;50.000;64.000;30;50;500;15;64.000;16.000;200;250;32;0;150;0;2.500;500;;0;0;0;0;100;400;100;100;6;100;100;500;250;100;No;Yes;128;38;256;250;250;1.000;512;5;250;1.024;0;2.500;32;32;400;1500000000.0;400;25.000;;0;0;0;0;0;;;0;100;3;4
VM-Series (2 vCPU, 6.5 GB);4.094;4.094;2.500;1.000;1.000;10.000;1.000;3000000000.0;1;128;1.000;31;15.000;6.000;6.416;500;3;Yes;90.000;1.000;2;2;1.000;0;2.000;Yes;64.000;512.000;1000000000.0;5.000;5.000;2.500;2.500;100.000;2.500;2.500;1.000;2.500;2.000;400;3.000;1.000;100;6.400;500;2.849;2.048;50.000;50.000;50.000;64.000;30;50;500;40;250.000;128.000;400;500;128;0;300;0;2.500;500;;0;0;0;0;100;3.000;500;100;6;100;100;2.000;1.000;100;No;Yes;128;375;256;1.500;500;2.000;512;5;1.000;1.024;0;5.000;32;32;400;1500000000.0;3.000;25.000;;0;0;0;0;0;;;0;100;3;12
VM-Series (22 vCPU, 56 GB);4.094;4.094;128.000;10.000;4.000;40.000;2.000;28000000000.0;1;1.024;2.000;63;120.000;6.000;6.416;500;125;Yes;250.000;2.000;8;2;1.000;0;2.000;Yes;512.000;512.000;6000000000.0;100.000;100.000;128.000;128.000;600.000;128.000;300.000;2.000;128.000;8.000;2.000;8.000;1.000;2.500;100.000;500;2.849;4.096;2.000.000;50.000;100.000;64.000;30;50;1.000;200;10.000.000;160.000;2.000;12.000;4.096;0;1.000;0;2.500;500;;0;0;0;0;100;15.000;4.000;100;12;2.000;1.000;4.000;2.000;300;Yes;Yes;8.000;750;256;20.000;250;5.000;512;5;8.000;1.024;0;100.000;32;32;2.500;14000000000.0;8.000;100.000;;0;0;0;0;0;;;0;2.000;125;12
VM-Series (4 vCPU, 9 GB);4.094;4.094;10.000;1.000;1.000;10.000;1.000;6000000000.0;1;512;1.000;31;30.000;6.000;6.416;500;10;Yes;90.000;1.000;2;2;1.000;0;2.000;Yes;64.000;512.000;1800000000.0;10.000;10.000;10.000;5.000;100.000;10.000;200.000;1.000;5.000;3.000;800;5.000;1.000;400;15.000;500;2.849;2.048;500.000;50.000;100.000;64.000;30;50;500;40;819.200;128.000;800;2.000;128;0;500;0;2.500;500;;0;0;0;0;100;5.000;1.000;100;6;500;100;2.000;1.000;100;Yes;Yes;2.000;375;256;10.000;500;2.000;512;5;2.000;1.024;0;10.000;32;32;400;3000000000.0;5.000;25.000;;0;0;0;0;0;;;0;500;10;12
VM-Series (8 vCPU, 16 GB);4.094;4.094;32.000;10.000;2.500;20.000;1.000;12000000000.0;1;1.024;1.000;63;60.000;6.000;6.416;500;20;Yes;90.000;1.000;8;2;1.000;0;2.000;Yes;512.000;512.000;3800000000.0;32.000;32.000;32.000;32.000;100.000;32.000;300.000;1.000;32.000;8.000;2.000;8.000;1.000;1.200;50.000;500;2.849;4.096;2.000.000;50.000;100.000;64.000;30;50;1.000;200;2.000.000;160.000;2.000;6.000;1.024;0;1.000;0;2.500;500;;0;0;0;0;100;8.000;2.000;100;12;500;1.000;4.000;1.000;300;Yes;Yes;4.000;750;256;10.000;250;2.000;512;5;4.000;1.024;0;32.000;32;32;2.000;6000000000.0;8.000;25.000;;0;0;0;0;0;;;0;500;20;12
